car_name,year,price,assemble_place,series,driven kms,num_of_seat,engine_type,transmission
 LandRover Range Rover HSE 3.0,2015,106488.0,Imported,SUV,65000,5,Petrol,Automatic
 Mitsubishi Outlander 2.0 CVT Premium,2018,26267.0,Locally assembled,SUV,50000,7,Petrol,Automatic
 Mazda 3 1.5L Luxury,2019,19326.0,Locally assembled,Sedan,51000,5,Petrol,Automatic
 Mazda 2 1.5 AT,2015,14396.0,Locally assembled,Sedan,38000,5,Petrol,Automatic
 Suzuki Swift GLX 1.2 AT,2021,22284.0,Imported,Hatchback,6000,5,Petrol,Automatic
 Mercedes Benz S class S500L,2015,78840.0,Imported,Sedan,44000,5,Petrol,Automatic
 VinFast Fadil Nâng cao 1.4 AT,2022,14001.0,Locally assembled,Hatchback,9000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2020,22284.0,Imported,SUV,28000,7,Petrol,Automatic
 Toyota Camry 2.5Q,2019,36482.0,Imported,Sedan,50000,5,Petrol,Automatic
 Kia K3 Luxury 1.6 AT,2021,24650.0,Locally assembled,Sedan,16000,5,Petrol,Automatic
 Toyota Fortuner 2.4G 4x2 AT Legender,2021,41806.0,Locally assembled,SUV,28000,7,Diesel,Automatic
 Mercedes Benz GLC 200,2022,64642.0,Locally assembled,SUV,5400,5,Petrol,Automatic
 Toyota Vios 1.5E MT,2018,15382.0,Locally assembled,Sedan,89000,5,Petrol,Manual
 Mazda 6 2.0L Premium,2018,23191.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 VinFast Fadil 1.4 AT Plus,2020,13015.0,Locally assembled,Hatchback,50000,5,Petrol,Automatic
 VinFast Lux SA 2.0 Premium 2.0 AT,2021,35102.0,Locally assembled,SUV,27000,7,Petrol,Automatic
 Hyundai Kona 1.6 Turbo,2019,23664.0,Locally assembled,Crossover,17000,5,Petrol,Automatic
 Hyundai i10 Grand 1.0 MT,2014,8480.0,Imported,Hatchback,8600,5,Petrol,Manual
 Toyota Fortuner 2.4G 4x2 AT,2019,34313.0,Locally assembled,SUV,62000,8,Diesel,Automatic
 Hyundai Tucson 2.0 AT Đặc biệt,2021,29935.0,Locally assembled,Crossover,32000,5,Petrol,Automatic
 Honda Civic G 1.5 AT,2022,29974.0,Imported,Sedan,18000,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2018,31355.0,Imported,SUV,86000,8,Petrol,Automatic
 Hyundai i10 Grand 1.0 MT,2014,8361.0,Imported,Hatchback,6800,5,Petrol,Manual
 Kia Morning SX 1.1 AT Sportpack,2010,7809.0,Locally assembled,Hatchback,90000,5,Petrol,Automatic
 Toyota Vios 1.5G,2020,19128.0,Locally assembled,Sedan,39000,5,Petrol,Automatic
 Volvo S90 Inscription T6,2020,68586.0,Imported,Sedan,18000,5,Petrol,Automatic
 Lexus RX 350,2017,89923.0,Imported,SUV,55000,5,Petrol,Automatic
 Toyota Innova 2.0E,2018,20824.0,Locally assembled,Crossover,68000,8,Petrol,Manual
 Mitsubishi Jolie SS,2005,6508.0,Locally assembled,SUV,83000,8,Petrol,Manual
 Toyota Camry 2.5Q,2020,41215.0,Imported,Sedan,45000,5,Petrol,Automatic
 Cadillac Escalade 6.2 V8,2008,24847.0,Imported,SUV,87500,7,Petrol,Automatic
 Audi Q7 3.0 AT,2011,26425.0,Imported,SUV,78600,7,Petrol,Automatic
 Lexus ES 250,2019,74542.0,Imported,Sedan,21919,5,Petrol,Automatic
 Lexus RX 350,2010,37665.0,Imported,SUV,85000,5,Petrol,Automatic
 Mercedes Benz C class C300 AMG,2016,34668.0,Locally assembled,Sedan,60000,5,Petrol,Automatic
 Toyota Prado VX 2.7L,2022,112404.0,Imported,SUV,20000,7,Petrol,Automatic
 Mercedes Benz E class E300 AMG,2020,74502.0,Locally assembled,Sedan,36000,5,Petrol,Automatic
 Mazda 3 1.5L Sport Luxury,2020,22836.0,Locally assembled,Hatchback,60000,5,Petrol,Automatic
 Mazda CX5 2.5 AT,2016,23467.0,Locally assembled,SUV,67000,5,Petrol,Automatic
 Mitsubishi Pajero Sport 2.4D 4x2 AT,2019,32538.0,Imported,SUV,63000,7,Diesel,Automatic
 BMW 3 Series 320i,2013,22836.0,Imported,Sedan,89000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2019,21298.0,Imported,SUV,55000,7,Petrol,Automatic
 Hyundai i10 Grand 1.2 MT Base,2018,9781.0,Locally assembled,Hatchback,95000,5,Petrol,Manual
 Hyundai Accent 1.4 AT Đặc Biệt,2021,18497.0,Locally assembled,Sedan,15000,5,Petrol,Automatic
 Audi Q5 2.0 AT,2016,39243.0,Imported,SUV,80000,5,Petrol,Automatic
 Mitsubishi Outlander 2.4 CVT Premium,2018,25242.0,Locally assembled,SUV,125000,7,Petrol,Automatic
 Toyota Vios 1.5G,2020,17945.0,Locally assembled,Sedan,32000,5,Petrol,Automatic
 Lexus LX 570 Super Sport MBS,2019,343128.0,Imported,SUV,23000,4,Petrol,Automatic
